GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
APKToolBoxGUI,edu.jiangxin.apktoolbox.file.zhconvert,ZhConvertPanel,460,0,6,0,95,0,10,0,7,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.file.zhconvert,ZhConvertPanel.ConvertBtnActionListener,146,0,4,0,26,0,5,0,3,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.file.zhconvert,ZhConvertPanel.SaveBtnActionListener,50,0,4,0,10,0,4,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.file.zhconvert,ZHConverterUtils,186,0,14,0,55,0,14,0,7,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorPickerPanel.LockPositionAction,11,0,0,0,3,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorPickerPanel.RecordColorAction,64,0,4,0,12,0,4,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorPickerPanel,839,0,25,0,170,0,32,0,18,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorTableConstant,3430,0,0,0,3,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorConvertPanel.ColorDefaultTableModel,10,0,0,0,4,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorPickerPanel.ColorMode,27,0,0,0,2,0,1,0,1,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorPickerPanel.new TimerTask() {...},10,0,0,0,3,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorConvertPanel,992,0,2,0,180,0,14,0,13,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorUtils,3,139,0,0,1,14,1,4,1,4
APKToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorPickerPanel.UnlockPositionAction,11,0,0,0,3,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorConvertPanel.ColorTableCellRenderer,27,0,0,0,4,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.file.checksum,CheckDigestPanel,487,0,30,0,122,0,30,0,13,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.file.checksum,CheckDigestPanel.Hash,60,0,0,0,8,0,4,0,4,0
